algorithm,dataset,rank,function,avg_cycles,avg_instructions,ipc
cc,europe-osm,1,apply_updates_algo,6724667720154,549379303857,0.081696
cc,europe-osm,2,update_frontier_cc,6145471189441,378491080236,0.061589
cc,europe-osm,3,generate_updates_algo,504278080906,308836467460,0.612433
cc,europe-osm,4,run_algo,1527132344,929466004,0.608635
cc,italy-osm,1,apply_updates_algo,1115157814381,76701944742,0.068781
cc,italy-osm,2,update_frontier_cc,1011948306009,47519608365,0.046959
cc,italy-osm,3,generate_updates_algo,63510743571,38829911564,0.611391
cc,italy-osm,4,run_algo,309094377,165157623,0.534327
cc,kron-g500-logn21,1,apply_updates_algo,3941894617,202827710,0.051454
cc,kron-g500-logn21,2,update_frontier_cc,3689113684,72184508,0.019567
cc,kron-g500-logn21,3,generate_updates_algo,2286940289,1103259672,0.482417
cc,kron-g500-logn21,4,run_algo,56750798,31043439,0.547013
cc,soc-LiveJournal1,1,apply_updates_algo,15509834371,899877507,0.058020
cc,soc-LiveJournal1,2,update_frontier_cc,14980071856,419108222,0.027978
cc,soc-LiveJournal1,3,generate_updates_algo,3047211976,2355176432,0.772896
cc,soc-LiveJournal1,4,run_algo,43481094,63887591,1.469319
pr,europe-osm,1,apply_updates_algo,882738261913,59098423433,0.066949
pr,europe-osm,2,update_frontier_pr,811081729050,28369572791,0.034977
pr,europe-osm,3,generate_updates_algo,71501654322,61345467317,0.857959
pr,europe-osm,4,run_algo,1061907851,766670692,0.721975
pr,italy-osm,1,update_frontier_pr,162489974458,3678364645,0.022637
pr,italy-osm,2,apply_updates_algo,160166658228,9379060092,0.058558
pr,italy-osm,3,generate_updates_algo,10812945839,9754056279,0.902072
pr,italy-osm,4,run_algo,146975872,102804357,0.699464
pr,kron-g500-logn21,1,generate_updates_algo,40226945346,8958433952,0.222697
pr,kron-g500-logn21,2,update_frontier_pr,5339855462,340174793,0.063705
pr,kron-g500-logn21,3,apply_updates_algo,5253956682,646104933,0.122975
pr,kron-g500-logn21,4,run_algo,31724451,25896350,0.816290
pr,soc-LiveJournal1,1,generate_updates_algo,194114152617,60112182888,0.309674
pr,soc-LiveJournal1,2,update_frontier_pr,153709449165,3431699180,0.022326
pr,soc-LiveJournal1,3,apply_updates_algo,147424079529,10083002531,0.068395
pr,soc-LiveJournal1,4,run_algo,131572859,80348484,0.610677
sssp,europe-osm,1,apply_updates_algo,709356320680,463239826281,0.653043
sssp,europe-osm,2,update_frontier_sssp,572788259345,406206175592,0.709173
sssp,europe-osm,3,generate_updates_algo,168884442523,348466862235,2.063345
sssp,europe-osm,4,run_algo,589835114,394522790,0.668870
sssp,italy-osm,1,update_frontier_sssp,81752885729,52566539337,0.642993
sssp,italy-osm,2,apply_updates_algo,73940892864,59285547735,0.801796
sssp,italy-osm,3,generate_updates_algo,22446553533,46805868456,2.085214
sssp,italy-osm,4,run_algo,164738807,83045023,0.504101
sssp,kron-g500-logn21,1,apply_updates_algo,1634658094,128864709,0.078833
sssp,kron-g500-logn21,2,update_frontier_sssp,1498356509,80604482,0.053795
sssp,kron-g500-logn21,3,generate_updates_algo,687655323,373571579,0.543254
sssp,kron-g500-logn21,4,run_algo,24419226,17917675,0.733753
sssp,soc-LiveJournal1,1,apply_updates_algo,3873833375,691298439,0.178453
sssp,soc-LiveJournal1,2,update_frontier_sssp,3718867948,546062665,0.146836
sssp,soc-LiveJournal1,3,generate_updates_algo,824671822,703906544,0.853560
sssp,soc-LiveJournal1,4,run_algo,34658869,43543078,1.256333
